candidate_id,tier,space,axis_pc,blind_axis_score
C0463,A,centered,2,-0.06085498700122845
C0464,A,centered,2,0.06615047805337658
C0465,A,centered,2,-0.047525493886985126
C0466,A,centered,2,0.06722788798272887
C0467,A,centered,2,-0.042945197413665065
C0468,A,centered,2,0.04561641349934731
C0469,A,centered,2,-0.0241062410664317
C0470,A,centered,2,0.07884465523019102
C0471,A,centered,2,-0.09405453707462155
C0472,A,centered,2,0.07753701648543601
C0473,A,centered,2,-0.05121891568074223
C0474,A,centered,2,0.010966909934758119
C0475,A,centered,2,-0.05696121584712818
C0476,A,centered,2,-0.004720573970300124
C0477,A,centered,2,-0.09022093011098987
C0478,A,centered,2,0.04675945334161392
C0479,A,centered,2,-0.07922294357925264
C0480,A,centered,2,0.07432163671666774
C0481,A,centered,2,-0.06518808957925068
C0482,A,centered,2,0.03769199441155162
C0483,A,centered,2,-0.017398719326915685
C0484,A,centered,2,0.07039533627033531
C0485,A,centered,2,-0.06199296592830425
C0486,A,centered,2,0.023804628506617184
C0487,A,centered,2,-0.042085480941546065
C0488,A,centered,2,0.06739713857960923
C0489,A,centered,2,-0.06605278524402183
C0490,A,centered,2,0.060550618694115134
C0491,A,centered,2,-0.08056900558830825
C0492,A,centered,2,0.07910509827400147
C0493,A,centered,2,-0.09150446292214749
C0494,A,centered,2,0.043952387878332784
C0495,A,centered,2,-0.07532669540392244
C0496,A,centered,2,0.06597896776186507
C0497,A,centered,2,0.03435814501708033
C0498,A,centered,2,-0.05800016225709226
C0499,A,centered,2,-0.044162726466075684
C0500,A,centered,2,0.010322750892122605
C0501,A,centered,2,-0.12567982052030516
C0502,A,centered,2,0.05686213836872716
C0503,A,centered,2,0.060115945440526515
C0504,A,centered,2,-0.04243652626888397
C0505,A,centered,2,0.0578765267803763
C0506,A,centered,2,-0.07968652312753087
C0507,A,centered,2,-0.04342840746091245
C0508,A,centered,2,0.08638460667399328
C0509,A,centered,2,-0.09096527773395158
C0510,A,centered,2,0.03899197591365842
C0511,A,centered,2,-0.051914500799927266
C0512,A,centered,2,0.04014192763516787
C0513,A,centered,2,-0.03215271301513365
C0514,A,centered,2,0.018109480197612656
C0515,A,centered,2,-0.11007227730894899
C0516,A,centered,2,0.05687854442514069
C0517,A,centered,2,-0.039951611324326626
C0518,A,centered,2,0.02891716321824181
C0519,A,centered,2,-0.03445143226113368
C0520,A,centered,2,0.05724925640445226
C0521,A,centered,2,-0.08850169687206773
C0522,A,centered,2,0.05655064211935318
C0523,A,centered,2,-0.05469097405515018
C0524,A,centered,2,0.004878184901510531
C0525,A,centered,2,-0.06512145698316987
C0526,A,centered,2,0.051611113374958904
C0527,A,centered,2,-0.08219107737719102
C0528,A,centered,2,0.06369632365305113
C0529,A,centered,2,-0.05751939704540867
C0530,A,centered,2,0.022192423953516022
C0531,A,centered,2,-0.05767331481685582
C0532,A,centered,2,0.0869879438142349
C0533,A,centered,2,-0.08819775180055443
C0534,A,centered,2,0.07831190064410484
C0535,A,centered,2,-0.0532418778597316
C0536,A,centered,2,0.03430769599724236
C0537,A,centered,2,-0.09560346289882173
C0538,A,centered,2,0.005748844629434966
C0539,A,centered,2,-0.0876721998001279
C0540,A,centered,2,0.11827921202347409
C0541,A,centered,2,-0.090750881665119
C0542,A,centered,2,0.05842566109463462
C0543,A,centered,2,-0.023680986477567022
C0544,A,centered,2,0.045918688624125695
C0545,A,centered,2,-0.0722285718788621
C0546,A,centered,2,-0.023193761400871288
C0547,A,centered,2,-0.09079825448714834
C0548,A,centered,2,0.05444006412518428
C0549,A,centered,2,-0.04426312187583144
C0550,A,centered,2,-0.014510574490984173
C0551,A,centered,2,-0.0346227761843497
C0552,A,centered,2,0.15069103136159892
C0553,A,centered,2,0.07437869472475367
C0554,A,centered,2,-0.08604084681787806
C0555,A,centered,2,0.02636122508674694
C0556,A,centered,2,-0.048338473744077785
C0557,A,centered,2,0.0010661565111642279
C0558,A,centered,2,-0.07195761781953199
C0559,A,centered,2,0.043755586261630675
C0560,A,centered,2,-0.07409343173161033
C0561,A,centered,2,0.03957209312040736
C0562,A,centered,2,0.03273846087782507
C0563,A,centered,2,-0.050121267003003366
C0564,A,centered,2,0.055092475726204106
C0565,A,centered,2,-0.047209391712338004
C0566,A,centered,2,0.0023618969926664053
C0567,A,centered,2,-0.07302342660534193
C0568,A,centered,2,0.05274181641999243
C0569,A,centered,2,-0.035062581272856254
C0570,A,centered,2,0.08916811975254331
C0571,A,centered,2,-0.06777809847439849
C0572,A,centered,2,0.019652395076298387
C0573,A,centered,2,-0.05743446669633403
C0574,A,centered,2,0.0442657438493176
C0575,A,centered,2,-0.06461915116249349
C0576,A,centered,2,0.08160757802405018
C0577,A,centered,2,-0.08357628231668313
C0578,A,centered,2,0.027295678191594907
C0579,A,centered,2,-0.05719850879319816
C0580,A,centered,2,-0.03367177244309471
C0581,A,centered,2,-0.10130094676963654
C0582,A,centered,2,0.06035748416182316
C0583,A,centered,2,-0.07518436619688608
C0584,A,centered,2,0.0510396475988567
C0585,A,centered,2,0.003935844876904531
C0586,A,centered,2,0.05245540649791244
C0587,A,centered,2,-0.052822594870597685
C0588,A,centered,2,0.061648778828407906
C0589,A,centered,2,-0.04182523792469561
C0590,A,centered,2,-0.01296279096463238
C0591,A,centered,2,-0.01591032831888133
C0592,A,centered,2,0.042352485040439654
C0593,A,centered,2,0.10017040967393476
C0594,A,centered,2,-0.0011220307706293156
C0595,A,centered,2,0.006092258697981203
C0596,A,centered,2,-0.0730996350731427
C0597,A,centered,2,0.014869322335000138
C0598,A,centered,2,-0.04925933150090532
C0599,A,centered,2,0.07402453576796585
C0600,A,centered,2,-0.060859799994192276
C0601,A,centered,2,0.07840272842836482
C0602,A,centered,2,-0.09692084732140632
C0603,A,centered,2,0.05652940468239402
C0604,A,centered,2,-0.00606834371338935
C0605,A,centered,2,0.04910662483135947
C0606,A,centered,2,-0.0938096973827872
C0607,A,centered,2,-0.03925327085536619
C0608,A,centered,2,0.05707681742892033
C0609,A,centered,2,0.03515885772486178
